Date,Open,High,Low,Close,Adj Close,Volume
2017-09-20,1256.500000,1256.900024,1235.000000,1237.300049,1209.161743,473176
2017-09-21,1238.000000,1247.250000,1224.949951,1229.099976,1201.148315,772766
2017-09-22,1218.050049,1230.199951,1204.900024,1213.250000,1185.658691,896125
2017-09-25,1205.150024,1213.449951,1192.000000,1196.949951,1169.729370,917093
2017-09-26,1187.000000,1189.750000,1164.000000,1174.000000,1147.301270,740276
2017-09-27,1173.099976,1178.550049,1152.849976,1160.000000,1133.619629,786410
2017-09-28,1155.000000,1165.000000,1123.000000,1130.000000,1104.301880,2353175
2017-09-29,1130.000000,1144.949951,1127.000000,1131.699951,1105.963257,791548
2017-10-03,1141.300049,1160.000000,1135.500000,1148.800049,1122.674438,834092
2017-10-04,1154.000000,1167.099976,1147.550049,1154.050049,1127.805176,626750
2017-10-05,1149.650024,1161.500000,1147.599976,1153.250000,1127.023315,327057
2017-10-06,1155.000000,1169.699951,1153.000000,1157.300049,1130.981079,344962
2017-10-09,1169.800049,1169.800049,1152.800049,1158.599976,1132.251587,363972
2017-10-10,1156.000000,1166.949951,1154.000000,1163.000000,1136.551514,316767
2017-10-11,1170.000000,1175.750000,1155.000000,1160.599976,1134.206177,602214
2017-10-12,1156.500000,1162.000000,1146.050049,1158.800049,1132.447021,658884
2017-10-13,1158.800049,1177.099976,1154.150024,1174.250000,1147.545654,417081
2017-10-16,1181.000000,1185.000000,1166.000000,1171.050049,1144.418457,689380
2017-10-17,1170.000000,1200.000000,1170.000000,1197.150024,1169.924805,979278
2017-10-18,1197.800049,1197.800049,1170.000000,1179.650024,1152.822876,523048
2017-10-19,1175.000000,1183.250000,1171.150024,1178.500000,1151.698853,77085
2017-10-23,1184.449951,1191.849976,1159.000000,1174.150024,1147.447876,698954
2017-10-24,1175.000000,1234.000000,1175.000000,1222.900024,1195.089355,2345084
2017-10-25,1222.900024,1232.050049,1195.000000,1201.699951,1174.371460,1015698
2017-10-26,1194.000000,1203.650024,1180.699951,1191.150024,1164.061401,808543
2017-10-27,1193.900024,1195.000000,1178.599976,1184.550049,1157.611450,346755
2017-10-30,1185.000000,1198.800049,1179.550049,1182.550049,1155.656982,280643
2017-10-31,1182.000000,1188.849976,1176.150024,1180.849976,1156.587280,279632
2017-11-01,1185.000000,1188.550049,1174.000000,1175.949951,1151.787842,260543
2017-11-02,1176.400024,1181.949951,1166.000000,1178.400024,1154.187744,245949
2017-11-03,1182.449951,1183.099976,1167.300049,1172.449951,1148.360107,258595
2017-11-06,1168.000000,1173.099976,1155.000000,1162.349976,1138.467529,314729
2017-11-07,1158.000000,1164.650024,1132.500000,1141.449951,1117.996704,758497
2017-11-08,1147.099976,1179.400024,1145.050049,1172.199951,1148.114868,691775
2017-11-09,1177.849976,1198.449951,1173.599976,1195.599976,1171.034180,884722
2017-11-10,1194.900024,1194.900024,1160.000000,1178.599976,1154.383667,1130647
2017-11-13,1184.000000,1189.500000,1168.849976,1174.949951,1150.808594,363501
2017-11-14,1174.949951,1176.000000,1152.400024,1155.050049,1131.317383,547558
2017-11-15,1155.000000,1190.000000,1151.050049,1181.550049,1157.272949,829732
2017-11-16,1183.000000,1189.000000,1175.000000,1179.550049,1155.313965,429230
2017-11-17,1186.000000,1193.900024,1166.000000,1171.300049,1147.233643,454013
2017-11-20,1173.000000,1176.449951,1159.650024,1166.349976,1142.385254,255840
2017-11-21,1168.599976,1175.000000,1156.000000,1160.300049,1136.459595,421268
2017-11-22,1162.500000,1176.500000,1155.000000,1174.300049,1150.172119,731572
2017-11-23,1175.500000,1177.900024,1157.050049,1159.599976,1135.773804,482632
2017-11-24,1164.000000,1164.000000,1148.150024,1159.599976,1135.773804,406704
2017-11-27,1158.000000,1160.000000,1146.099976,1156.500000,1132.737671,373156
2017-11-28,1157.500000,1174.900024,1150.150024,1171.000000,1146.939697,445227
2017-11-29,1166.000000,1176.349976,1148.250000,1153.849976,1130.142212,516698
2017-11-30,1150.250000,1158.000000,1141.349976,1146.750000,1123.187988,1433116
2017-12-01,1147.199951,1154.000000,1130.250000,1133.750000,1110.455078,397188
2017-12-04,1145.449951,1145.449951,1117.000000,1121.000000,1097.967041,455769
2017-12-05,1122.000000,1124.150024,1108.050049,1115.000000,1092.090332,702853
2017-12-06,1114.800049,1114.949951,1099.000000,1104.349976,1081.659180,723473
2017-12-07,1108.000000,1151.000000,1106.849976,1144.400024,1120.886230,986078
2017-12-08,1144.949951,1153.500000,1130.099976,1135.500000,1112.169067,593327
2017-12-11,1142.000000,1142.699951,1123.400024,1125.849976,1102.717529,551772
2017-12-12,1131.849976,1131.849976,1101.000000,1117.400024,1094.440918,1060836
2017-12-13,1117.900024,1137.500000,1110.000000,1116.550049,1093.608521,646677
2017-12-14,1122.000000,1129.550049,1115.400024,1123.449951,1100.366821,543059
2017-12-15,1129.000000,1134.699951,1116.000000,1118.699951,1095.714355,897594
2017-12-18,1120.000000,1139.949951,1110.000000,1137.150024,1113.785400,622558
2017-12-19,1149.000000,1149.500000,1130.949951,1137.699951,1114.323853,459494
2017-12-20,1137.500000,1141.949951,1125.000000,1135.500000,1112.169067,458160
2017-12-21,1140.949951,1144.000000,1130.400024,1137.900024,1114.519897,460388
2017-12-22,1137.000000,1142.500000,1132.500000,1138.000000,1114.617798,377780
